n,seconds
1,0.0003947000
2,0.0000018000
3,0.0000026000
4,0.0000055000
5,0.0000123000
6,0.0000274000
7,0.0000602000
8,0.0001362000
9,0.0002784000
10,0.0006056000
11,0.0013113000
12,0.0028458000
13,0.0059410000
14,0.0122663000
15,0.0261696000
16,0.0556635000
17,0.1165931000
18,0.2377096000
19,0.4934829000
20,1.0169843000
21,2.0907075000
22,4.3354932000
